PING 20.90.92.58 (20.90.92.58) 56(84) bytes of data.
64 bytes from 20.90.92.58: icmp_seq=147 ttl=51 time=102 ms
64 bytes from 20.90.92.58: icmp_seq=148 ttl=51 time=125 ms
64 bytes from 20.90.92.58: icmp_seq=149 ttl=51 time=72.0 ms
64 bytes from 20.90.92.58: icmp_seq=150 ttl=51 time=71.2 ms
64 bytes from 20.90.92.58: icmp_seq=151 ttl=51 time=95.3 ms
64 bytes from 20.90.92.58: icmp_seq=152 ttl=51 time=118 ms
64 bytes from 20.90.92.58: icmp_seq=153 ttl=51 time=69.8 ms
64 bytes from 20.90.92.58: icmp_seq=154 ttl=51 time=64.4 ms
64 bytes from 20.90.92.58: icmp_seq=155 ttl=51 time=87.3 ms
64 bytes from 20.90.92.58: icmp_seq=156 ttl=51 time=112 ms
64 bytes from 20.90.92.58: icmp_seq=157 ttl=51 time=67.8 ms
64 bytes from 20.90.92.58: icmp_seq=158 ttl=51 time=82.0 ms
64 bytes from 20.90.92.58: icmp_seq=159 ttl=51 time=80.6 ms
64 bytes from 20.90.92.58: icmp_seq=160 ttl=51 time=105 ms
64 bytes from 20.90.92.58: icmp_seq=161 ttl=51 time=129 ms
64 bytes from 20.90.92.58: icmp_seq=162 ttl=51 time=78.9 ms
64 bytes from 20.90.92.58: icmp_seq=163 ttl=51 time=74.5 ms
64 bytes from 20.90.92.58: icmp_seq=164 ttl=51 time=98.6 ms
64 bytes from 20.90.92.58: icmp_seq=165 ttl=51 time=123 ms
64 bytes from 20.90.92.58: icmp_seq=166 ttl=51 time=71.7 ms
64 bytes from 20.90.92.58: icmp_seq=167 ttl=51 time=67.6 ms
64 bytes from 20.90.92.58: icmp_seq=168 ttl=51 time=90.7 ms
64 bytes from 20.90.92.58: icmp_seq=169 ttl=51 time=114 ms
64 bytes from 20.90.92.58: icmp_seq=170 ttl=51 time=63.8 ms
64 bytes from 20.90.92.58: icmp_seq=171 ttl=51 time=77.6 ms
64 bytes from 20.90.92.58: icmp_seq=172 ttl=51 time=81.5 ms
64 bytes from 20.90.92.58: icmp_seq=173 ttl=51 time=106 ms
64 bytes from 20.90.92.58: icmp_seq=174 ttl=51 time=63.2 ms
64 bytes from 20.90.92.58: icmp_seq=175 ttl=51 time=76.6 ms
64 bytes from 20.90.92.58: icmp_seq=176 ttl=51 time=74.3 ms
64 bytes from 20.90.92.58: icmp_seq=177 ttl=51 time=98.4 ms
64 bytes from 20.90.92.58: icmp_seq=178 ttl=51 time=122 ms
64 bytes from 20.90.92.58: icmp_seq=179 ttl=51 time=67.9 ms
64 bytes from 20.90.92.58: icmp_seq=180 ttl=51 time=67.7 ms
64 bytes from 20.90.92.58: icmp_seq=181 ttl=51 time=91.3 ms
64 bytes from 20.90.92.58: icmp_seq=182 ttl=51 time=115 ms
64 bytes from 20.90.92.58: icmp_seq=183 ttl=51 time=69.7 ms
64 bytes from 20.90.92.58: icmp_seq=184 ttl=51 time=84.3 ms
64 bytes from 20.90.92.58: icmp_seq=185 ttl=51 time=83.2 ms
64 bytes from 20.90.92.58: icmp_seq=186 ttl=51 time=107 ms
64 bytes from 20.90.92.58: icmp_seq=187 ttl=51 time=67.6 ms
64 bytes from 20.90.92.58: icmp_seq=188 ttl=51 time=78.6 ms
64 bytes from 20.90.92.58: icmp_seq=189 ttl=51 time=76.9 ms
64 bytes from 20.90.92.58: icmp_seq=190 ttl=51 time=99.8 ms
64 bytes from 20.90.92.58: icmp_seq=191 ttl=51 time=123 ms
64 bytes from 20.90.92.58: icmp_seq=192 ttl=51 time=70.0 ms
